codmes;JM_Venta_zona_1;JM_Venta_zona_2;JM_Venta_zona_3;JM_Venta_total;M_Venta_zona_1;M_Venta_zona_2;M_Venta_zona_3;M_Venta_total;M_precio_oferta_zon1;M_precio_oferta_zon2;M_precio_oferta_zon3;M_precio_oferta_total;M_precio_venta_zon1;M_precio_venta_zon2;M_precio_venta_zon3;M_precio_venta_total;flg_feia
Ene-17;20;12;9;41;8;9;9;26;10783.8;6858.5;6383.7;7769.2;9988.6;6713.3;6247.3;7559.8;0
Feb-17;14;17;12;43;4;13;5;22;10849.9;6872.5;6582.3;7659.7;7705.2;6727.4;5948.4;6728.1;0
Mar-17;22;17;10;49;9;14;13;36;10113.6;7084.4;6589.4;7719.3;10593.4;7136.1;6041.6;7605.2;0
Abr-17;22;17;16;55;5;7;8;20;9823.3;7079.2;6580.7;7676.6;10607.4;6950;5950.9;7464.7;0
May-17;20;18;14;52;21;9;10;40;9935.6;6958.1;6600.9;7617.4;7990;6875.9;6135.1;7275.6;0
Jun-17;18;16;15;49;10;9;13;32;9413.9;6937.9;6600.3;7589;8786.3;7023.7;5727.9;7048.1;0
Jul-17;27;12;9;48;13;15;27;55;9370.5;6913.2;6721.6;7514.8;9078;6513.5;6343.2;7036.1;0
Ago-17;28;14;17;59;14;17;16;47;9285.3;6922.7;6739;7561.6;7812.3;6708.1;6244.4;6879.2;0
sept-17;27;16;18;61;10;13;14;37;9270.4;6907.5;6775.4;7535.1;8924.5;7063.2;6289.9;7273.7;0
Oct-17;40;12;14;66;12;19;13;44;9413.9;6933.1;6931.1;7526.5;8104.6;6498.5;6237.4;6859.4;0
Nov-17;26;18;19;63;11;16;26;53;9355.8;6894.6;6959.8;7552.8;7360.3;6266.8;6691.2;6701.9;0
Dic-17;31;13;10;54;14;19;16;49;9329.1;6915.3;6965.4;7557.4;8978.5;6618.5;6571.7;7277.5;0
Ene-18;38;19;14;71;11;14;23;48;9242.7;6905.1;6982.1;7559.1;9811.3;6511.3;6331.9;7181.6;0
Feb-18;45;13;21;79;8;20;17;45;9461.7;6978.4;6995.7;7573.2;7539.2;6609.3;6444.4;6712.3;0
Mar-18;54;20;18;92;15;10;22;47;9505.1;7531.2;7011.5;7779.9;7853.6;7177.2;6435.6;7045.9;0
Abr-18;77;36;25;138;17;20;25;62;9548;7585.3;7018.6;7837.7;8112.6;6926.9;6495.6;7078.1;1
May-18;63;24;15;102;14;28;23;65;9591.8;7606.7;7064.8;7845.8;7673.2;7203.5;6543.6;7071.2;0
Jun-18;52;20;22;94;8;22;19;49;9470;8008.4;7392;8155.7;7770.7;7023.1;6827.3;7069.2;1
Jul-18;41;14;24;79;9;19;21;49;9446;7753.4;7104.9;7921.1;9967.1;7055.9;6854.7;7504.4;0
Ago-18;78;28;26;132;26;32;23;81;9565.5;7706.2;7071.2;7844;7950.9;7408.1;6760.3;7398.4;1
sept-18;52;29;25;106;18;21;33;72;9640.2;7769.3;7120.6;7903.9;8307.9;7652;6773.9;7413.5;0
Oct-18;53;21;22;96;15;36;22;73;9759.4;7625.2;7102;7835.2;8024.2;7755.9;7079.9;7607.3;0
Nov-18;66;38;23;127;11;26;15;52;9760.7;7751.3;7154.7;7968;8654.2;7400.5;6921.7;7527.6;1
Dic-18;57;29;16;102;11;20;13;44;9833.9;7808.9;7148.5;7988.8;8518.8;7167.9;6749.3;7381.9;0
Ene-19;114;21;24;159;10;22;11;43;9907;7803.3;7136.9;8023;8221.5;7218.6;6863.9;7361.1;0
Feb-19;72;38;16;126;7;14;14;35;9694.1;7775.3;7239.5;8047;8672.6;7257.6;7103;7478.8;0
Mar-19;52;33;22;107;7;28;14;49;9751.6;7887.4;7229.3;8096.5;7852.8;7096.7;6692.9;7089.3;0
Abr-19;90;41;34;165;19;23;24;66;9701.2;8005.2;7322.7;8177.6;8280.4;7671.5;6821.7;7537.8;1
May-19;66;34;43;143;10;27;13;50;9783;8028.6;7327.2;8177.8;8609.3;7719.1;6628.5;7613.6;0
Jun-19;53;27;29;109;15;39;18;72;9819.9;7904.6;7582;8077.5;8621.2;7374.4;6566.5;7432.2;1
Jul-19;55;24;32;111;15;40;14;69;10232.9;7950.8;7598.4;8255.6;7998.2;7522.7;6993.7;7518.7;0
