codmes,Tasas_interes_fondeo,tasa_interes_act,ind_prec_inm,ind_prec_med,ind_prec_alt,ind_prec_12_distr,ind_prec_cons_lima_met_alim_ener,prod_ener_lima,imp_bienes_cons_durarero,ind_coyunt_ener,ind_coyunt_ener_sin_mina,ind_coyun_cons_cement,var_porc_demanda_interna,var_porc_PBI,var_porc_PBI_const,ind_prec_inf_suby_bienes,imp_mater_const,ind_preci_import,exp_PBI,tip_camb_banc_venta,ind_tipo_camb_var_mes
ene-17,21.6,17.7,105.52,4833.035,6504.746721,6112.723641,85.67393661,1923.560965,172.6761422,4271.92674,3260.252779,-6.893538881,0.5531165338,5.035926576,-5.362122742,0.1733642092,,78.48483842,0.04,3.341909091,-1.291876646
feb-17,21.8,17.1,105.52,4833.035,6504.746721,6112.723641,86.13071599,1644.130032,174.6547425,3851.705216,2993.869714,-4.840554824,-3.592398808,0.7990454429,-7.147955399,0.1962653509,,78.34310432,0.038,3.26185,-2.408776354
mar-17,22.1,17.0,105.52,4833.035,6504.746721,6112.723641,87.7145038,1975.653286,210.9892829,4174.763955,3195.446902,-5.849873636,1.869531941,1.167850845,-4.071801817,0.2377993701,,78.34624164,0.038,3.265478261,-1.088903626
abr-17,21.2,16.8,103.85,4793.376,6371.636744,6003.237702,87.14520827,1738.640068,195.8993024,3963.699582,3005.119229,-9.277351545,0.4885129336,0.3096121429,-8.458241632,0.135524108,,78.37684305,0.039,3.248777778,0.0514337252
may-17,22.8,16.8,103.85,4793.376,6371.636744,6003.237702,86.27782708,1800.644194,218.666675,4164.100152,3133.891401,-2.030503589,2.940182378,3.651920738,-4.023826269,0.2106876693,,78.65132493,0.037,3.274545455,1.300316892
jun-17,22.8,17.1,103.85,4793.376,6371.636744,6003.237702,85.92744305,1936.619154,217.49963,3999.388076,2983.63661,2.913193685,-1.85183032,3.964081696,3.291448863,0.1275196727,,78.59404111,0.0365,3.26945,0.09520531609
jul-17,22.2,17.1,105.72,4927.448,6332.269533,6008.472622,86.12938877,2124.407534,217.7942836,4042.552647,2993.972578,1.678336225,5.49905448,2.221566582,3.809220969,0.09931435211,,78.41404655,0.035,3.250473684,-0.8429346057
ago-17,22.3,16.9,105.72,4927.448,6332.269533,6008.472622,86.99657105,2297.255864,237.7651046,4116.77361,3056.805874,3.641844345,1.722382828,2.852593678,4.693556555,0.09770923241,,78.55094761,0.038,3.242818182,-0.5999521428
sept-17,24.0,16.6,105.72,4927.448,6332.269533,6008.472622,86.9747927,2078.817167,227.3701187,4013.13238,3000.809787,4.373969084,-0.7411481369,3.347889353,9.074423394,0.04055016432,,79.06922111,0.036,3.247571429,0.6922159154
oct-17,23.1,16.4,104.80,4822.666,6130.747623,5830.475157,86.07588399,2172.203789,258.3350609,4141.856326,3133.851556,6.728270911,7.177735411,3.6079514,16.2779685,0.08420752366,,78.95050704,0.038,3.252454545,0.5588622713
